name,ring,quadrant,isNew,description
PostgreSQL,Hold,Platforms,FALSE,"PostgreSQL RDS is strongly preferred over EC2-hosted PostgreSQL, in line with our architecture principle of Cloud Native."
MySQL,Hold,Platforms,FALSE,Most applications have been migrated from MySQL to PostgreSQL. Campaign Manager/Backbone continue to use MySQL. EC2-hsoted MySQL is deprecated in favor of RDS.
MySQL AWS RDS,Hold,Platforms,TRUE,Most applications have been migrated from MySQL to PostgreSQL. Campaign Manager/Backbone continue to use MySQL.
HornetQ,Adopt,Platforms,FALSE,HornetQ is an asynchronous messaging platform. It is used by Connect applications.
Java,Adopt,languages-and-frameworks,FALSE,
Redis (EC2),Hold,Platforms,FALSE,"EC2-hosted redis is still deployed in the legacy EU environment, but we are actively migrating these redis instances to elsaticache."
SonarQube,Adopt,Tools,FALSE,
Spring Boot,Adopt,Tools,FALSE,Used widely across Connect and Push for building Java applications
Heroku,Hold,Platforms,FALSE,Application stack hosting platform in use by multiple proserve applications.
Rollbar (Heroku),Hold,Tools,FALSE,Deployment tracking and error reporting integrated with Heroku in use by multiple proserve applications.
Papertrail (Heroku),Hold,Tools,FALSE,Logging application integrated with Heroku and in use by multiple proserve applications.
Postfix,Hold,Platforms,FALSE,SMTP e-mail infrastructure for platform and infrastructure e-mail messaging.
Cisco ASA/Anyconnect,Hold,Platforms,FALSE,"Remote access, client VPN platform for private network, data center network access. "
AWS Route53,Adopt,Platforms,FALSE,AWS managed DNS platform used by internal and customer facing application hostname resolution.
AWS DynamoDB,Adopt,Platforms,FALSE,"NoSQL database service used by infrastructure terraform state management, SFMC integration, Journey Builder, Text2Go applications ."
AWS S3,Adopt,Platforms,FALSE,"Object storage service used by various internal, platform, connect and core applications for logging and asset storage. "
NGINX,Hold,Platforms,FALSE,Nginx is used on EC2-hosted load balancer servers. This is deprecated in favor of AWS Elastic Load Balancers (for most purposes) or AWS API Gateway (for endpoints that must support mutual TLS authentication)
AWS Elastic Load Balancer,Adopt,Platforms,FALSE,"Managed application and network load balancer service for intelligent traffic routing to application servers and services in use by internal, platform and connect applications."
AWS Device Farm,Adopt,Tools,FALSE,Mobile and web application testing platform in use by platform team.
AWS Secrets Manager,Adopt,Platforms,FALSE,"Managed credential management platform for secure storage and retrieval of application secrets in use by platform, connect, proserve, analytics and integrations applications. "
AWS Lambda,Adopt,Platforms,FALSE,"Managed function execution as a service platform in use by various workflows for internal, platform, analytics and integrations applications."
AWS Managed Kakfa,Hold,Platforms,FALSE,"AWS Managed Streaming for Apache Kafka (MSK) is a fully managed, highly available Kafka service. MSK should no longer be used as Vibes is consolidating all Kafka workloads on Confluent Cloud. "
AWS Certificate Manager,Adopt,Platforms,FALSE,AWS managed PKI platform in use for issuing SSL/TLS certificates for AWS load balancer certificates used by platform and connect applications.
AWS Certificate Manager PCA,Adopt,Platforms,FALSE,ACM Private CA is preferred over other CA implementations for internal-use certificates
AWS Cloudwatch,Adopt,Platforms,FALSE,"AWS Logging, event and scheduled task service used by various infrastructure, platform and connect applications to manage SLAs."
New Relic APM,Adopt,Platforms,FALSE,"Application resource and event monitoring and alerting platform in use by infrastructure, platform and connect applications to manage SLAs."
AWS Backup,Adopt,Tools,FALSE,"AWS service for backup currently in use for backing up internal application EC2 instances and internal application, platform and connect EFS volumes."
AWS Elastic File System,Adopt,Platforms,FALSE,"AWS managed file system platform in use by internal, platform and connect applications."
AWS Kinesis,Adopt,Platforms,FALSE,AWS streaming solution used in Data Ingestion
AWS Config,Adopt,Tools,FALSE,
AWS Sagemaker,Adopt,Tools,FALSE,AWS Machine Learning platform.
AWS GuardDuty,Adopt,Tools,FALSE,
AWS SQS,Adopt,Platforms,FALSE,AWS Queue service. In use in AWS MWAA internally and E&I applications.
AWS Glue,Adopt,Platforms,FALSE,AWS serverless data integration service used by data ingestion to run extracts from source database.
AWS Security Hub,Adopt,Tools,FALSE,
AWS Firewall,Adopt,Platforms,FALSE,Network security service being used for internal traffic inspection and control currently between Telnyx DX and messaging connections.
Okta,Adopt,Platforms,FALSE,"Single sign-on/identity federation platform used for internal, lob applications."
MS Active Directory,Hold,Platforms,FALSE,"Identity management and authentication platform used for internal, lob applications access."
MS O365/EO/AzureAD,Adopt,Platforms,FALSE,E-mail and business productivity application suite.
AWS IAM,Adopt,Platforms,FALSE,Identity and access management platform used by AWS for authentication and access control to AWS services.
Tailscale,Trial,Platforms,TRUE,"Remote access, client VPN platform for private network, data center network access. "
LetsEncrypt,Adopt,Platforms,FALSE,"The Let's Encrypt service provides no-cost TLS certificates with automatic renewal for public HTTPS endpoints. Vibes uses Let's Encrypt for white label certificates and URL Shortener vanity domains. It is a viable alternative to AWS Certificate Manager, when ACM cannot easily be used."
SFTP,Hold,Platforms,FALSE,"File transfer, file sharing service running in EC2 in use for posting extracts for customer retrieval, customers uploading subscriber lists and CPA requests."
AWS Transfer Service,Trial,Platforms,TRUE,"File transfer, file sharing managed service in use for posting extracts for customer retrieval, customers uploading subscriber lists and CPA requests."
AWS Storage Gateway,Hold,Platforms,FALSE,AWS storage access platform providing NFS access support to S3 storage for platform Google Wallet and Passbook application assets.
Atlassian OpsGenie,Adopt,Platforms,FALSE,"Managed alerting and on-call management platform integrated with AWS cloudwatch and New Relic for alert notification and escalation in use for internal, platform and connect applications."
Slack,Adopt,Platforms,FALSE,"Team communications tool being used for team collaboration, support, incident and change management communications."
Atlassian StatusPage,Adopt,Platforms,FALSE,Managed status and event notification service for communicating availability and maintenance notifications of platform and connect services to customers.
AWS EC2,Adopt,Platforms,FALSE,"AWS virtual machine platform in use enterprise wide for hosting internal, platform and connect applications."
Cisco IOSXE/IPSec,Adopt,Platforms,FALSE,Network infrastructure platform providing secure communications connectivity to carrier and customers not currently supporting direct TLS connectivity.
AWS DirectConnect/BGP,Adopt,Platforms,FALSE,Network infrastructure platform provided by AWS delivering private network connectivity. Currently in trial use by Telnyx.
AWS Systems Manager,Trial,Platforms,TRUE,
OpenSSL/TLS,Adopt,Platforms,FALSE,
AWS Cloudfront,Adopt,Platforms,FALSE,"Used across all teams for content delivery, caching, etc."
Snowflake,Adopt,Platforms,FALSE,Cloud database. Used for the EDW and for the Vibes Index database.
Tray.io,Adopt,Platforms,FALSE,"Used by Professional Services for custom projects in addition to building reusable integrations with other SaaS product. Can also be used to close gaps in the 'seams' of our platform. For example, sending a text message via the Event API when someone submits a form on a Mobile Page."
Wyng,Adopt,Platforms,FALSE,Used by Professional Services for custom micro experiences when the request goes beyond the limits of Mobile Pages capabilities.
Looker,Adopt,Platforms,FALSE,Used internally for data analytics as well as embedded in our platform for customers analytics use cases.
ReactJS,Adopt,languages-and-frameworks,FALSE,
iOS Swift/ObjectiveC,Adopt,languages-and-frameworks,FALSE,
Android Java/Kotlin,Adopt,languages-and-frameworks,FALSE,
ReactNative,Adopt,languages-and-frameworks,FALSE,
Cordova,Adopt,languages-and-frameworks,FALSE,
iOS,Adopt,Platforms,FALSE,
Android,Adopt,Platforms,FALSE,
Airflow,Hold,Platforms,FALSE,In house instance of Airflow. This will be decommissioned after we are fully migrated to AWS MWAA.
AWS MWAA,Adopt,Platforms,FALSE,AWS managed Airflow service. Vibes uses Airflow for ETL processing.
Paperclip,Adopt,Platforms,FALSE,
Apache Spark,Assess,Tools,FALSE,Big data tool that can be used to data engineering and machine learning with data/delta lake.
Jboss,Hold,Tools,FALSE,Messaging team uses to host some applications
Tomcat,Hold,Tools,FALSE,Messaging team uses to host some applications
Groovy,Adopt,languages-and-frameworks,FALSE,
Ruby on Rails,Adopt,languages-and-frameworks,FALSE,"Ruby web application framework, used throughout platform applications."
Backbone.js,Hold,languages-and-frameworks,FALSE,"Used primarily in Campaign Manager, Wallet Manager, and Dashboard"
GoDaddy TLS certificates,Hold,Platforms,FALSE,"Deprecated in favor of ACM PCA (for internal certs), ACM, and Let's Encrypt"
Quarkus,Adopt,Tools,FALSE,"Cloud native java based alternative to Spring Boot, currently used only in Mombasa for push token import. The only reason why we didn't use it in app-admin was because it doesn't have native support for CAS. For the performance and cost benefits of using the native images it generates, this is a good tool for any backend product that needs to be built which doesn't require frontend integratoin with CAS."
Node.js,Adopt,languages-and-frameworks,FALSE,"Node.js® is an open-source, cross-platform JavaScript runtime environment. Used by E&I applications running on AWS Lambda."
AWS Step Functions,Adopt,Platforms,FALSE,"AWS Step Functions is a visual workflow service that helps developers use AWS services to build distributed applications, automate processes, orchestrate microservices, and create data and machine learning (ML) pipelines.
Used by E&I SFMC integration to orchestrate multi-step data sync process."
AWS API Gateway (Lambda Authorizer),Trial,Platforms,FALSE,"Not sure this goes here, adding for discussion.

Token based authorization for API Gateway endpoints.
Used in combination with a JWT generation application (ei-authorization-server) wrapping Security Services API "
AWS X-Ray,Trial,Platforms,FALSE,"AWS X-Ray is a service that collects data about requests that your application serves, and provides tools that you can use to view, filter, and gain insights into that data to identify issues and opportunities for optimization. For any traced request to your application, you can see detailed information not only about the request and response, but also about calls that your application makes to downstream AWS resources, microservices, databases, and web APIs.
Used by E&I apps for tracing and debugging."
AWS Cloudwatch EMF,Trial,Tools,FALSE,"The CloudWatch embedded metric format (EMF) is a JSON specification used to instruct CloudWatch Logs to automatically extract metric values embedded in structured log events. You can use CloudWatch to graph and create alarms on the extracted metric values.
Used by E&I apps for publishing metrics to Clouwdwatch for monitoring and alerting."
AWS SAM,Adopt,Tools,FALSE,"The AWS Serverless Application Model (SAM) is an open-source framework for building serverless applications. It provides shorthand syntax to express functions, APIs, databases, and event source mappings. With just a few lines per resource, you can define the application you want and model it using YAML. During deployment, SAM transforms and expands the SAM syntax into AWS CloudFormation syntax, enabling you to build serverless applications faster.
Used by E&I applications running on Lambda. We've found SAM a better experience than Terraform for deploying Serverless apps."
